"","Montagnard","Travailler","Habiter","Altitude"
"397","Oui","0","Non",210
"398","Oui","1","Non",210
"399","Oui","1","Non",210
"400","Oui","0","Non",210
"402","Oui","2","Oui",653
"403","Oui","1","Oui",653
"404","Oui","1","Oui",653
"405","Oui","2","Oui",653
"406","Non","0","Non",653
"407","Oui","0","Oui",653
"409","Oui","0","Oui",653
"410","Oui","2","Oui",653
"411","Oui","1","Oui",653
"412","Oui","0","Oui",653
"415","Oui","0","Non",234
"416","Oui","2","Oui",548
"417","Oui","2","Oui",590
"419","Oui","1","Oui",590
"420","Oui","2","Oui",590
"422","Oui","1","Oui",590
"423","Oui","2","Oui",590
"424","Oui","2","Non",590
"425","Oui","1","Oui",590
"426","Non","0","Non",93
"427","Oui","1","Non",283
"428","Oui","0","Non",283
"429","Oui","0","Non",283
"430","Oui","1","Oui",535
"431","Oui","0","Non",535
"432","Non","0","Non",535
"434","Oui","0","Non",242
"435","Non","0","Non",115
"436","Non","0","Non",115
"437","Oui","0","Non",259
"439","Oui","0","Non",259
"440","Oui","0","Non",259
"442","Oui","0","Non",182
"444","Oui","0","Non",182
"446","Oui","0","Oui",182
"449","Oui","0","Non",388
"451","Oui","2","Oui",388
"455","Non","0","Non",248
"456","Oui","2","Oui",248
"457","Oui","1","Non",248
"458","Oui","0","Non",248
"459","Oui","0","Non",248
"460","Non","0","Non",248
"461","Oui","1","Oui",248
"462","Non","0","Non",248
"464","Non","2","Oui",248
"466","Oui","1","Non",248
"468","Non","0","Non",248
"469","Non","0","Non",248
"470","Oui","1","Oui",1023
"471","Oui","2","Oui",1024
"472","Oui","2","Oui",1024
"475","Oui","2","Oui",1024
"476","Oui","2","Oui",1024
"477","Oui","2","Oui",1024
"478","Oui","2","Oui",1024
"480","Oui","1","Oui",1024
"481","Oui","2","Oui",1024
"482","Oui","2","Oui",1024
"483","Oui","2","Oui",1024
"484","Oui","2","Oui",1024
"485","Oui","2","Oui",1024
"487","Oui","2","Oui",1024
"488","Oui","2","Oui",1024
"489","Oui","1","Oui",556
"490","Oui","0","Non",139
"491","Oui","0","Non",139
"492","Non","0","Non",139
"493","Oui","0","Non",139
"495","Oui","1","Non",139
"497","Non","0","Non",139
"498","Oui","0","Non",139
"499","Oui","2","Oui",1397
"501","Oui","1","Oui",445
"502","Oui","0","Non",125
"503","Oui","0","Non",208
"504","Oui","0","Non",208
"506","Non","0","Non",158
"507","Oui","0","Non",380
"508","Oui","0","Non",132
"510","Oui","0","Non",111
"511","Non","0","Non",111
"512","Oui","0","Non",105
"513","Oui","0","Non",94
"515","Oui","0","Non",73
"518","Non","0","Non",125
"519","Non","0","Non",132
"521","Oui","1","Non",15
"522","Oui","1","Oui",57
"523","Non","0","Non",57
"524","Oui","0","Non",57
"525","Oui","0","Non",57
"527","Non","0","Non",52
"528","Non","0","Non",51
"530","Oui","1","Non",38
"531","Oui","0","Non",33
"532","Oui","0","Non",45
"533","Oui","0","Non",102
"534","Oui","0","Non",102
"536","Non","1","Non",154
"537","Oui","0","Non",154
"539","Oui","2","Oui",340
"540","Oui","2","Oui",340
"541","Non","0","Non",49
"543","Oui","0","Non",83
"546","Oui","0","Non",123
"548","Non","1","Non",353
"549","Oui","0","Non",16
"550","Oui","0","Non",56
"551","Oui","0","Non",56
"552","Oui","1","Oui",56
"553","Oui","2","Oui",448
